,Deployment.Location.ID,X,Area,Project,Grid,Camera,StartDate,EndDate,Treatment,GPSX,GPSY,Near_river,Near_road,Near_PA,Near_CP,Dry_NDVI,Wet_NDVI,Cols,Species,Season,sum
1,Y0001,27,North,Makgadikgadi,Makgadikgadi.North.B7,B7,2/10/2022,8/1/2022,Trail,24.21979068,-20.7226564,18381.5,1119.96,17952.3528,2148.4,0.18974558,0.24847305,#AA20B2,WILDCAT,Dry,1
2,Y0001,27,North,Makgadikgadi,Makgadikgadi.North.B7,B7,2/10/2022,8/1/2022,Trail,24.21979068,-20.7226564,18381.5,1119.96,17952.3528,2148.4,0.18974558,0.24847305,#AA20B2,WILDCAT,Wet,1
3,Y0001,27,North,Makgadikgadi,Makgadikgadi.North.B7,B7,2/10/2022,8/1/2022,Trail,24.21979068,-20.7226564,18381.5,1119.96,17952.3528,2148.4,0.18974558,0.24847305,#AA20B2,BLACK-BACKED JACKAL,Dry,3
4,Y0001,27,North,Makgadikgadi,Makgadikgadi.North.B7,B7,2/10/2022,8/1/2022,Trail,24.21979068,-20.7226564,18381.5,1119.96,17952.3528,2148.4,0.18974558,0.24847305,#AA20B2,BLACK-BACKED JACKAL,Wet,1
5,Y0002,14,North,Makgadikgadi,Makgadikgadi.North.C4,C4,2/10/2022,8/1/2022,Trail,24.07064804,-20.7722709,32217.62,583.62,31323.9327,1110.96,0.1694109,0.26958585,#AA20B2,BLACK-BACKED JACKAL,Dry,3
6,Y0002,14,North,Makgadikgadi,Makgadikgadi.North.C4,C4,2/10/2022,8/1/2022,Trail,24.07064804,-20.7722709,32217.62,583.62,31323.9327,1110.96,0.1694109,0.26958585,#AA20B2,AARDWOLF,Wet,1
7,Y0004,8,North,Makgadikgadi,Makgadikgadi.North.D8,D8,2/10/2022,8/1/2022,On road,24.26781245,-20.8126242,11228.47,0.01,10399.2901,5278.8,0.16535018,0.27198502,#20B2AA,WILDCAT,Wet,1
8,Y0004,8,North,Makgadikgadi,Makgadikgadi.North.D8,D8,2/10/2022,8/1/2022,On road,24.26781245,-20.8126242,11228.47,0.01,10399.2901,5278.8,0.16535018,0.27198502,#20B2AA,WILDCAT,Dry,2
9,Y0004,8,North,Makgadikgadi,Makgadikgadi.North.D8,D8,2/10/2022,8/1/2022,On road,24.26781245,-20.8126242,11228.47,0.01,10399.2901,5278.8,0.16535018,0.27198502,#20B2AA,CARACAL,Dry,1
10,Y0005,30,North,Makgadikgadi,Makgadikgadi.North.B10,B10,2/10/2022,8/1/2022,Trail,24.359445,-20.7314845,5102.21,245.06,3655.648,1477.3,0.15388405,0.2091655,#AA20B2,WILDCAT,Dry,5
11,Y0005,30,North,Makgadikgadi,Makgadikgadi.North.B10,B10,2/10/2022,8/1/2022,Trail,24.359445,-20.7314845,5102.21,245.06,3655.648,1477.3,0.15388405,0.2091655,#AA20B2,BLACK-BACKED JACKAL,Wet,1
12,Y0005,30,North,Makgadikgadi,Makgadikgadi.North.B10,B10,2/10/2022,8/1/2022,Trail,24.359445,-20.7314845,5102.21,245.06,3655.648,1477.3,0.15388405,0.2091655,#AA20B2,WILDCAT,Wet,1
13,Y0005,30,North,Makgadikgadi,Makgadikgadi.North.B10,B10,2/10/2022,8/1/2022,Trail,24.359445,-20.7314845,5102.21,245.06,3655.648,1477.3,0.15388405,0.2091655,#AA20B2,BLACK-BACKED JACKAL,Dry,2
14,Y0005,30,North,Makgadikgadi,Makgadikgadi.North.B10,B10,2/10/2022,8/1/2022,Trail,24.359445,-20.7314845,5102.21,245.06,3655.648,1477.3,0.15388405,0.2091655,#AA20B2,AARDWOLF,Dry,2
15,Y0006,28,North,Makgadikgadi,Makgadikgadi.North.B8,B8,2/10/2022,8/1/2022,On road,24.26153641,-20.7251319,14298.7,0.18,13857.9245,2245.49,0.18424222,0.21896566,#20B2AA,BLACK-BACKED JACKAL,Dry,1
16,Y0006,28,North,Makgadikgadi,Makgadikgadi.North.B8,B8,2/10/2022,8/1/2022,On road,24.26153641,-20.7251319,14298.7,0.18,13857.9245,2245.49,0.18424222,0.21896566,#20B2AA,AARDWOLF,Dry,1
17,Y0006,28,North,Makgadikgadi,Makgadikgadi.North.B8,B8,2/10/2022,8/1/2022,On road,24.26153641,-20.7251319,14298.7,0.18,13857.9245,2245.49,0.18424222,0.21896566,#20B2AA,CARACAL,Dry,5
18,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,AARDWOLF,Wet,1
19,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,WILDCAT,Wet,1
20,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,BLACK-BACKED JACKAL,Wet,2
21,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,CARACAL,Wet,2
22,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,BLACK-BACKED JACKAL,Dry,5
23,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,CARACAL,Dry,5
24,Y0007,29,North,Makgadikgadi,Makgadikgadi.North.B9,B9,2/10/2022,8/1/2022,Trail,24.30799923,-20.7296304,9913.89,128.78,8991.6262,2550.98,0.15453048,0.24316593,#AA20B2,WILDCAT,Dry,1
25,Y0008,37,North,Makgadikgadi,Makgadikgadi.North.A7,A7,2/10/2022,8/1/2022,Trail,24.22524101,-20.6667891,19650.07,158.32,18128.3236,2698.51,0.17305201,0.2606198,#AA20B2,NA,NA,NA
26,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,BLACK-BACKED JACKAL,Wet,15
27,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,BLACK-BACKED JACKAL,Dry,39
28,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,AARDWOLF,Dry,2
29,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,WILDCAT,Dry,4
30,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,WILDCAT,Wet,5
31,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,CARACAL,Dry,12
32,Y0012,17,North,Makgadikgadi,Makgadikgadi.North.C7,C7,2/10/2022,8/1/2022,On road,24.21461997,-20.7693489,17585.91,0.02,16771.3015,2118.09,0.15475541,0.20119175,#20B2AA,CARACAL,Wet,5
33,Y0013,13,North,Makgadikgadi,Makgadikgadi.North.C3,C3,2/10/2022,8/1/2022,On road,24.03143699,-20.778171,36144.31,0.15,29040.9444,3365.01,0.1728374,0.24702068,#20B2AA,WILDCAT,Dry,1
34,Y0013,13,North,Makgadikgadi,Makgadikgadi.North.C3,C3,2/10/2022,8/1/2022,On road,24.03143699,-20.778171,36144.31,0.15,29040.9444,3365.01,0.1728374,0.24702068,#20B2AA,AARDWOLF,Wet,1
35,Y0013,13,North,Makgadikgadi,Makgadikgadi.North.C3,C3,2/10/2022,8/1/2022,On road,24.03143699,-20.778171,36144.31,0.15,29040.9444,3365.01,0.1728374,0.24702068,#20B2AA,AARDWOLF,Dry,2
36,Y0013,13,North,Makgadikgadi,Makgadikgadi.North.C3,C3,2/10/2022,8/1/2022,On road,24.03143699,-20.778171,36144.31,0.15,29040.9444,3365.01,0.1728374,0.24702068,#20B2AA,BLACK-BACKED JACKAL,Dry,1
37,Y0013,13,North,Makgadikgadi,Makgadikgadi.North.C3,C3,2/10/2022,8/1/2022,On road,24.03143699,-20.778171,36144.31,0.15,29040.9444,3365.01,0.1728374,0.24702068,#20B2AA,BLACK-BACKED JACKAL,Wet,4
38,Y0014,19,North,Makgadikgadi,Makgadikgadi.North.C9,C9,2/10/2022,8/1/2022,Trail,24.30584298,-20.7780669,8082.84,1197.36,7359.591,2425.13,0.16010319,0.22923017,#AA20B2,CARACAL,Wet,1
39,Y0014,19,North,Makgadikgadi,Makgadikgadi.North.C9,C9,2/10/2022,8/1/2022,Trail,24.30584298,-20.7780669,8082.84,1197.36,7359.591,2425.13,0.16010319,0.22923017,#AA20B2,WILDCAT,Dry,2
40,Y0014,19,North,Makgadikgadi,Makgadikgadi.North.C9,C9,2/10/2022,8/1/2022,Trail,24.30584298,-20.7780669,8082.84,1197.36,7359.591,2425.13,0.16010319,0.22923017,#AA20B2,AARDWOLF,Dry,1
41,Y0014,19,North,Makgadikgadi,Makgadikgadi.North.C9,C9,2/10/2022,8/1/2022,Trail,24.30584298,-20.7780669,8082.84,1197.36,7359.591,2425.13,0.16010319,0.22923017,#AA20B2,BLACK-BACKED JACKAL,Dry,2
42,Y0014,19,North,Makgadikgadi,Makgadikgadi.North.C9,C9,2/10/2022,8/1/2022,Trail,24.30584298,-20.7780669,8082.84,1197.36,7359.591,2425.13,0.16010319,0.22923017,#AA20B2,WILDCAT,Wet,4
